Id,SalePrice
1461,118596
1462,140500
1463,186921
1464,195930
1465,200504
1466,168231
1467,178021
1468,153818
1469,201370
1470,119745
1471,162834
1472,89065
1473,93959
1474,146684
1475,108679
1476,382206
1477,269811
1478,309815
1479,298834
1480,495009
1481,321680
1482,208008
1483,181959
1484,160146
1485,188175
1486,185894
1487,327470
1488,233619
1489,209878
1490,246097
1491,199340
1492,110304
1493,188746
1494,304629
1495,295490
1496,242126
1497,181150
1498,178195
1499,154020
1500,153874
1501,192923
1502,125228
1503,359770
1504,230856
1505,222353
1506,195493
1507,247813
1508,198006
1509,157365
1510,140716
1511,160777
1512,174035
1513,151011
1514,166359
1515,194802
1516,157853
1517,182249
1518,132314
1519,219855
1520,125146
1521,134055
1522,184323
1523,112345
1524,133327
1525,123476
1526,107805
1527,104201
1528,126884
1529,155380
1530,205777
1531,128480
1532,93087
1533,158792
1534,114893
1535,143028
1536,96540
1537,48233
1538,154019
1539,198191
1540,89479
1541,143164
1542,152823
1543,178527
1544,81539
1545,121640
1546,133652
1547,133137
1548,145656
1549,124033
1550,138823
1551,103670
1552,156281
1553,156714
1554,113365
1555,155749
1556,67671
1557,129757
1558,105917
1559,60259
1560,120499
1561,115053
1562,130248
1563,125059
1564,164718
1565,154824
1566,243888
1567,84283
1568,233930
1569,132739
1570,131019
1571,99689
1572,152292
1573,265768
1574,127697
1575,232588
1576,228109
1577,201809
1578,163115
1579,138579
1580,189530
1581,151717
1582,134348
1583,289662
1584,213281
1585,136278
1586,88916
1587,114679
1588,147304
1589,99004
1590,119254
1591,97290
1592,110944
1593,129469
1594,102427
1595,104343
1596,225753
1597,206120
1598,225002
1599,175368
1600,160163
1601,51506
1602,121515
1603,55769
1604,264035
1605,232742
1606,156644
1607,179114
1608,216036
1609,196942
1610,155662
1611,138771
1612,180986
1613,165367
1614,141733
1615,91259
1616,76482
1617,86873
1618,146363
1619,138510
1620,160786
1621,127616
1622,147272
1623,254659
1624,196989
1625,109470
1626,172704
1627,192110
1628,280919
1629,181584
1630,374559
1631,244335
1632,250360
1633,157234
1634,173379
1635,169236
1636,139843
1637,202569
1638,184482
1639,180111
1640,239577
1641,183806
1642,243087
1643,217218
1644,225516
1645,211895
1646,155889
1647,153697
1648,128580
1649,135090
1650,105750
1651,114723
1652,99775
1653,98142
1654,140661
1655,123301
1656,145924
1657,155475
1658,141747
1659,122764
1660,153401
1661,454274
1662,423688
1663,397442
1664,573732
1665,323632
1666,325040
1667,401654
1668,361578
1669,310805
1670,374731
1671,274433
1672,415595
1673,281520
1674,242695
1675,199489
1676,200850
1677,233106
1678,463386
1679,400233
1680,355658
1681,272467
1682,321156
1683,186371
1684,175140
1685,177452
1686,163632
1687,168167
1688,179704
